project_name,total_months_analyzed,avg_transition_rate,median_transition_rate,max_transition_rate,std_transition_rate,total_truly_new_core_added,avg_existing_core_count,final_ever_core_count,final_active_core_count,months_with_new_core,new_core_frequency,project_start_month,project_end_month,total_commits_analyzed,project_type
WorldHealthOrganization/app,13,0.02539767924383309,0.0,0.18181818181818182,0.05453707024940725,4,13.923076923076923,15,10,3,0.23076923076923078,2020-04,2021-04,791,OSS4SG
PopulateTools/gobierto,104,0.019421897546897545,0.0,0.5,0.07097123327580578,10,9.875,12,7,10,0.09615384615384616,2016-11,2025-07,15489,OSS4SG
openfoodfacts/openfoodfacts-server,128,0.016276041666666664,0.0,1.0,0.10460660052691235,4,4.125,5,4,4,0.03125,2015-01,2025-08,34831,OSS4SG
openml/openml-python,98,0.01752915451895044,0.0,0.5,0.07160238641818487,7,6.591836734693878,9,8,7,0.07142857142857142,2015-01,2025-07,1747,OSS4SG
SORMAS-Foundation/SORMAS-Project,109,0.026604359957383257,0.0,0.5,0.07139896550253093,26,13.81651376146789,28,24,24,0.22018348623853212,2016-07,2025-07,28023,OSS4SG
GeoNode/geonode,190,0.016087101182844996,0.0,0.5,0.05817299016070202,30,21.33157894736842,32,26,28,0.14736842105263157,2009-10,2025-07,19138,OSS4SG
openMF/mobile-wallet,62,0.07924020340005523,0.0,2.0,0.28512677627423466,34,19.0,35,25,21,0.3387096774193548,2017-07,2025-08,925,OSS4SG
tidepool-org/tidepool-org.github.io,62,0.02585823674533352,0.0,0.3333333333333333,0.06696224005094756,10,10.629032258064516,13,8,10,0.16129032258064516,2014-02,2025-05,619,OSS4SG
openlawlibrary/taf,75,0.027777777777777773,0.0,1.0,0.13585269947982612,4,3.3333333333333335,5,4,4,0.05333333333333334,2019-03,2025-06,2212,OSS4SG
etalab/covid19-dashboard,13,0.02564102564102564,0.0,0.3333333333333333,0.09245003270420483,1,3.923076923076923,4,3,1,0.07692307692307693,2020-04,2021-08,841,OSS4SG
kobotoolbox/kobo-docker,105,0.021746031746031746,0.0,1.0,0.11660080122257674,5,4.695238095238095,6,4,5,0.047619047619047616,2016-02,2025-08,1118,OSS4SG
wevote/WebApp,116,0.022946334007439482,0.0,1.0,0.10080994073443467,17,13.810344827586206,19,18,16,0.13793103448275862,2016-01,2025-08,10120,OSS4SG
nextstrain/ncov,66,0.04579450183165354,0.0,2.75,0.33845219500741003,31,36.75757575757576,39,18,7,0.10606060606060606,2020-02,2025-07,5167,OSS4SG
XLSForm/pyxform,141,0.024393989522274874,0.0,1.0,0.10364438971994684,17,10.829787234042554,18,14,17,0.12056737588652482,2011-04,2025-07,1939,OSS4SG
hotosm/learnosm,124,0.024693780041450356,0.0,0.75,0.09264474125890745,26,24.491935483870968,28,14,19,0.1532258064516129,2012-10,2025-05,2773,OSS4SG
okfn/opendatahandbook,36,0.06805555555555556,0.0,1.0,0.19454362549881257,6,5.472222222222222,7,7,6,0.16666666666666666,2015-03,2022-06,2002,OSS4SG
disease-sh/API,28,0.015518707482993197,0.0,0.16666666666666666,0.045974104284545056,3,8.571428571428571,9,7,3,0.10714285714285714,2020-04,2025-04,2080,OSS4SG
reach4help/reach4help,31,0.017204301075268817,0.0,0.25,0.057812575680469686,5,12.516129032258064,13,7,3,0.0967741935483871,2020-04,2025-04,5112,OSS4SG
openstreetmap/osmosis,126,0.0,0.0,0.0,0.0,0,1.0,1,1,0,0.0,2007-05,2024-12,1889,OSS4SG
github/covid19-dashboard,18,0.032407407407407406,0.0,0.3333333333333333,0.09539601364326955,2,4.833333333333333,5,5,2,0.1111111111111111,2020-04,2022-07,1751,OSS4SG
dhis2/app-platform,66,0.03156565656565657,0.0,1.0,0.14453369724735352,4,3.727272727272727,5,5,4,0.06060606060606061,2019-03,2025-07,949,OSS4SG
pcm-dpc/COVID-19,58,0.057396004378762994,0.0,2.0,0.26815478165473483,9,5.931034482758621,10,7,8,0.13793103448275862,2020-04,2025-01,2423,OSS4SG
nextstrain/nextstrain.org,89,0.03178616015694668,0.0,1.0,0.12835699918794438,9,6.449438202247191,10,8,9,0.10112359550561797,2018-03,2025-07,3256,OSS4SG
okfde/offenerhaushalt.de,33,0.07424242424242425,0.0,1.0,0.2449876311039792,5,4.878787878787879,6,3,4,0.12121212121212122,2013-12,2024-10,1031,OSS4SG
