project_name,meets_criteria,contributors_count,commits_count,closed_prs_count,age_years,days_since_update,contributors_check,commits_check,prs_check,age_check,recent_update,error
Growstuff/growstuff,True,90,38986,3442,12.98,6,True,True,True,True,True,
mapswipe/python-mapswipe-workers,True,30,74784,470,7.46,0,True,True,True,True,True,
OADA/server,True,11,48808,276,8.27,36,True,True,True,True,True,
scratchfoundation/scratch-blocks,True,120,200970,2078,9.56,3,True,True,True,True,True,
sozialhelden/accessibility-cloud,True,13,34406,96,8.71,42,True,True,True,True,True,
rightoneducation/righton-app,True,22,537350,975,6.25,0,True,True,True,True,True,
osm2pgsql-dev/osm2pgsql,True,90,103528,1421,15.25,0,True,True,True,True,True,
primeroIMS/primero,True,150,415064,453,8.73,0,True,True,True,True,True,
ifmeorg/ifme,True,330,173916,1637,11.28,0,True,True,True,True,True,
sozialhelden/wheelmap-frontend,True,18,181672,535,8.01,51,True,True,True,True,True,
NREL/OpenStudio-server,True,19,111380,591,12.05,41,True,True,True,True,True,
avniproject/avni-client,True,60,39098,77,9.0,0,True,True,True,True,True,
RefugeRestrooms/refugerestrooms,True,90,41454,426,11.67,2,True,True,True,True,True,
jembi/openhim-core-js,True,60,21958,829,11.47,36,True,True,True,True,True,
publiclab/plots2,True,450,57724,6816,12.15,-1,True,True,True,True,True,
CenterForOpenScience/osf.io,True,150,423638,8564,12.19,22,True,True,True,True,True,
open-contracting/standard,True,60,47408,725,11.16,23,True,True,True,True,True,
OpenEnergyDashboard/OED,True,240,85338,987,8.76,6,True,True,True,True,True,
kobotoolbox/kpi,True,60,159022,3462,10.43,-1,True,True,True,True,True,
OptiKey/OptiKey,True,90,801582,405,11.04,0,True,True,True,True,True,
openfoodfoundation/openfoodnetwork,True,240,230664,7432,12.79,0,True,True,True,True,True,
ctt-gob-es/clienteafirma,True,19,1187336,54,11.18,3,True,True,True,True,True,
WattTime/pyiso,True,13,4774,121,11.34,75,True,True,True,True,True,
ShelterTechSF/askdarcel-web,True,60,44556,822,9.4,7,True,True,True,True,True,
sugarlabs/sugar,True,90,51552,794,12.14,3,True,True,True,True,True,
instedd/surveda,True,24,26898,601,9.01,117,True,True,True,True,True,
apache/fineract,True,240,186778,4819,9.61,0,True,True,True,True,True,
openstreetmap/iD,True,360,977574,3220,13.05,-1,True,True,True,True,True,
inasafe/inasafe,True,60,498176,2562,13.56,21,True,True,True,True,True,
owid/owid-grapher,True,60,293282,3617,10.24,0,True,True,True,True,True,
Flowminder/FlowKit,True,15,1332850,6322,6.75,1,True,True,True,True,True,
synthetichealth/synthea,True,90,1555554,787,9.12,0,True,True,True,True,True,
tidepool-org/platform,True,16,103872,866,9.66,5,True,True,True,True,True,
Intelehealth/intelehealth-fhw-mobileapp,True,15,1024136,354,9.45,130,True,True,True,True,True,
magma/magma,True,270,553934,10056,6.46,5,True,True,True,True,True,
rapidpro/rapidpro,True,60,555722,527,10.68,19,True,True,True,True,True,
code-dot-org/blockly,True,60,50130,270,8.92,33,True,True,True,True,True,
tidepool-org/tideline,True,23,81260,412,11.56,6,True,True,True,True,True,
huridocs/uwazi,True,60,341374,4474,9.74,0,True,True,True,True,True,
OperationCode/resources_api,True,60,2342,465,7.01,41,True,True,True,True,True,
demarches-simplifiees/demarches-simplifiees.fr,True,90,159100,8000,9.8,-1,True,True,True,True,True,
ConservationInternational/trends.earth,True,24,328336,324,8.24,2,True,True,True,True,True,
healthsites/healthsites,True,20,165522,561,10.79,28,True,True,True,True,True,
foodcoops/foodsoft,True,60,25936,593,16.56,5,True,True,True,True,True,
oppia/oppia,True,390,663470,12479,9.96,0,True,True,True,True,True,
instedd/verboice,True,17,27322,118,10.69,158,True,True,True,True,True,
okfde/froide,True,60,64702,607,14.24,-1,True,True,True,True,True,
coralproject/talk,True,60,164046,3903,8.74,7,True,True,True,True,True,
Sunbird-Obsrv/sunbird-data-pipeline,True,60,256520,1591,7.02,106,True,True,True,True,True,
scratchfoundation/scratch-www,True,90,1112068,7468,9.92,0,True,True,True,True,True,
OpenBankProject/OBP-API,True,60,93242,1926,12.69,0,True,True,True,True,True,
code-dot-org/code-dot-org,True,180,4535300,66917,10.86,-1,True,True,True,True,True,
WorldHealthOrganization/app,True,60,59168,1285,5.37,16,True,True,True,True,True,
PopulateTools/gobierto,True,19,91580,3042,8.76,9,True,True,True,True,True,
openfoodfacts/openfoodfacts-server,True,240,5420102,7988,11.73,0,True,True,True,True,True,
openml/openml-python,True,60,421300,820,11.36,1,True,True,True,True,True,
SORMAS-Foundation/SORMAS-Project,True,90,570330,5266,9.22,1,True,True,True,True,True,
GeoNode/geonode,True,270,927730,8692,15.16,0,True,True,True,True,True,
openMF/mobile-wallet,True,90,24094,1193,8.12,1,True,True,True,True,True,
tidepool-org/tidepool-org.github.io,True,20,3624,116,11.53,63,True,True,True,True,True,
osm-search/Nominatim,True,120,324152,1242,13.41,1,True,True,True,True,True,
openlawlibrary/taf,True,17,9742,415,6.61,23,True,True,True,True,True,
tidepool-org/uploader,True,60,338056,1564,11.13,12,True,True,True,True,True,
etalab/covid19-dashboard,True,19,9878,110,5.39,95,True,True,True,True,True,
kobotoolbox/kobo-docker,True,22,5144,153,9.85,6,True,True,True,True,True,
SFDigitalServices/sf-dahlia-web,True,60,127726,2663,9.84,2,True,True,True,True,True,
wevote/WebApp,True,150,150358,3470,9.62,0,True,True,True,True,True,
nextstrain/ncov,True,90,59126,713,5.53,1,True,True,True,True,True,
XLSForm/pyxform,True,60,66668,422,10.93,10,True,True,True,True,True,
hotosm/learnosm,True,120,1513878,406,13.01,8,True,True,True,True,True,
okfn/opendatahandbook,True,90,20448,206,10.47,12,True,True,True,True,True,
