project_name,project_type,total_contributors,core_contributors,core_ratio,core_percentage_actual,one_time_contributors,one_time_ratio,gini_coefficient,bus_factor,active_contributors,active_ratio,casual_contributors,regular_contributors,heavy_contributors,total_commits,core_commits,commits_per_contributor
instedd/surveda,OSS4SG,37,8,0.21621621621621623,0.8010722347629797,3,0.08108108108108109,0.7237355866024038,4,3,0.08108108108108109,10,15,9,3544,2839,95.78378378378379
apache/fineract,OSS4SG,327,39,0.11926605504587157,0.8002267573696145,112,0.3425076452599388,0.8400902868792779,8,29,0.08868501529051988,120,78,17,8820,7058,26.972477064220183
openstreetmap/iD,OSS4SG,450,8,0.017777777777777778,0.8099042507775812,195,0.43333333333333335,0.9329493877606339,3,16,0.035555555555555556,195,46,14,16397,13280,36.437777777777775
owid/owid-grapher,OSS4SG,79,10,0.12658227848101267,0.8365319375787535,18,0.22784810126582278,0.8493699105445969,5,19,0.24050632911392406,19,25,17,20634,17261,261.1898734177215
Flowminder/FlowKit,OSS4SG,28,7,0.25,0.8302350813743219,3,0.10714285714285714,0.7175587703435804,3,3,0.10714285714285714,4,8,13,13825,11478,493.75
synthetichealth/synthea,OSS4SG,115,10,0.08695652173913043,0.8,35,0.30434782608695654,0.8690199572344977,3,6,0.05217391304347826,45,26,9,4880,3904,42.43478260869565
tidepool-org/platform,OSS4SG,20,4,0.2,0.8038815117466803,1,0.05,0.7433094994892748,2,4,0.2,5,9,5,1958,1574,97.9
Intelehealth/intelehealth-fhw-mobileapp,OSS4SG,31,9,0.2903225806451613,0.8097087378640777,3,0.0967741935483871,0.6728468524898215,3,2,0.06451612903225806,14,12,2,1030,834,33.225806451612904
magma/magma,OSS4SG,342,59,0.17251461988304093,0.8021097391446561,93,0.2719298245614035,0.7824094198480362,21,14,0.04093567251461988,114,99,36,12229,9809,35.75730994152047
rapidpro/rapidpro,OSS4SG,71,4,0.056338028169014086,0.8888651512561955,18,0.2535211267605634,0.9295570036180165,2,1,0.014084507042253521,26,16,11,23404,20803,329.63380281690144
code-dot-org/blockly,OSS4SG,59,8,0.13559322033898305,0.8151152860802733,7,0.11864406779661017,0.8123579730492554,4,2,0.03389830508474576,33,12,7,2342,1909,39.69491525423729
tidepool-org/tideline,OSS4SG,34,5,0.14705882352941177,0.8053459119496855,7,0.20588235294117646,0.8224010358860527,2,6,0.17647058823529413,9,12,6,3180,2561,93.52941176470588
huridocs/uwazi,OSS4SG,75,16,0.21333333333333335,0.8124625224865081,14,0.18666666666666668,0.7520127923246052,7,15,0.2,10,21,30,20012,16259,266.82666666666665
OperationCode/resources_api,OSS4SG,54,10,0.18518518518518517,0.8159203980099502,22,0.4074074074074074,0.777317118113138,2,1,0.018518518518518517,22,8,2,603,492,11.166666666666666
demarches-simplifiees/demarches-simplifiees.fr,OSS4SG,105,13,0.12380952380952381,0.8085593317313193,28,0.26666666666666666,0.8513087654865892,5,15,0.14285714285714285,29,22,26,26217,21198,249.68571428571428
ConservationInternational/trends.earth,OSS4SG,36,2,0.05555555555555555,0.8214379773505399,8,0.2222222222222222,0.8842580399730782,1,7,0.19444444444444445,9,16,3,3797,3119,105.47222222222223
healthsites/healthsites,OSS4SG,31,6,0.1935483870967742,0.8566329565734682,12,0.3870967741935484,0.7918481702519622,3,3,0.0967741935483871,6,7,6,1681,1440,54.225806451612904
foodcoops/foodsoft,OSS4SG,56,5,0.08928571428571429,0.8145412130637636,21,0.375,0.8674461230837591,2,7,0.125,18,12,5,2572,2095,45.92857142857143
oppia/oppia,OSS4SG,853,105,0.123094958968347,0.800814010853478,328,0.38452520515826494,0.8347941708390423,18,31,0.03634232121922626,328,169,28,16216,12986,19.010550996483
instedd/verboice,OSS4SG,32,6,0.1875,0.8118126272912424,5,0.15625,0.7666369653767822,3,1,0.03125,9,11,7,2455,1993,76.71875
okfde/froide,OSS4SG,49,1,0.02040816326530612,0.8700950850408464,23,0.46938775510204084,0.9550976678337064,1,6,0.12244897959183673,15,7,4,7467,6497,152.3877551020408
coralproject/talk,OSS4SG,78,7,0.08974358974358974,0.8110787172011662,33,0.4230769230769231,0.8744536642495826,4,5,0.0641025641025641,25,10,10,5145,4173,65.96153846153847
Sunbird-Obsrv/sunbird-data-pipeline,OSS4SG,75,14,0.18666666666666668,0.8116571771051843,13,0.17333333333333334,0.7787553690939966,6,1,0.013333333333333334,25,20,17,6674,5417,88.98666666666666
scratchfoundation/scratch-www,OSS4SG,136,15,0.11029411764705882,0.8110819965488592,21,0.15441176470588236,0.8657217696307129,4,6,0.04411764705882353,59,30,26,15647,12691,115.05147058823529
OpenBankProject/OBP-API,OSS4SG,52,6,0.11538461538461539,0.8178836280661723,6,0.11538461538461539,0.8534600026328492,3,8,0.15384615384615385,15,17,14,14024,11470,269.6923076923077
code-dot-org/code-dot-org,OSS4SG,268,39,0.1455223880597015,0.804258673505024,31,0.11567164179104478,0.8355727821742025,10,52,0.19402985074626866,41,76,120,200438,161204,747.9029850746268
WorldHealthOrganization/app,OSS4SG,65,10,0.15384615384615385,0.8065739570164349,27,0.4153846153846154,0.7811339103374502,3,4,0.06153846153846154,27,9,2,791,638,12.169230769230769
PopulateTools/gobierto,OSS4SG,33,7,0.21212121212121213,0.8189683000839305,6,0.18181818181818182,0.7651608081590651,3,3,0.09090909090909091,5,7,15,15489,12685,469.3636363636364
openfoodfacts/openfoodfacts-server,OSS4SG,267,4,0.0149812734082397,0.8037093393815854,106,0.3970037453183521,0.9600324821500328,1,29,0.10861423220973783,93,46,22,34831,27994,130.45318352059925
openml/openml-python,OSS4SG,64,8,0.125,0.8048082427017744,29,0.453125,0.8320066542644533,3,10,0.15625,15,15,5,1747,1406,27.296875
SORMAS-Foundation/SORMAS-Project,OSS4SG,159,24,0.1509433962264151,0.8013774399600329,17,0.1069182389937107,0.8240091191938697,6,9,0.05660377358490566,43,58,41,28023,22457,176.24528301886792
GeoNode/geonode,OSS4SG,363,26,0.07162534435261708,0.801379526571563,121,0.3333333333333333,0.8899529865198466,7,12,0.03305785123966942,139,73,30,19138,15336,52.72176308539945
openMF/mobile-wallet,OSS4SG,108,25,0.23148148148148148,0.8032432432432433,36,0.3333333333333333,0.7127027027027026,7,9,0.08333333333333333,56,15,1,925,743,8.564814814814815
tidepool-org/tidepool-org.github.io,OSS4SG,26,8,0.3076923076923077,0.8174474959612278,6,0.23076923076923078,0.6529762644463775,3,2,0.07692307692307693,7,11,2,619,506,23.807692307692307
openlawlibrary/taf,OSS4SG,26,4,0.15384615384615385,0.8458408679927667,6,0.23076923076923078,0.8396508554736402,1,3,0.11538461538461539,7,9,4,2212,1871,85.07692307692308
etalab/covid19-dashboard,OSS4SG,26,3,0.11538461538461539,0.8620689655172413,11,0.4230769230769231,0.8553461995792553,2,2,0.07692307692307693,10,3,2,841,725,32.34615384615385
kobotoolbox/kobo-docker,OSS4SG,31,4,0.12903225806451613,0.8103756708407871,13,0.41935483870967744,0.8225517917941023,2,5,0.16129032258064516,11,3,4,1118,906,36.064516129032256
wevote/WebApp,OSS4SG,207,18,0.08695652173913043,0.8017786561264822,45,0.21739130434782608,0.8695556701227778,2,28,0.13526570048309178,85,66,11,10120,8114,48.888888888888886
nextstrain/ncov,OSS4SG,113,18,0.1592920353982301,0.8095606735049352,19,0.168141592920354,0.7861770836366253,6,4,0.035398230088495575,38,43,13,5167,4183,45.72566371681416
XLSForm/pyxform,OSS4SG,71,14,0.19718309859154928,0.814337287261475,18,0.2535211267605634,0.76728965852879,5,3,0.04225352112676056,29,18,6,1939,1579,27.309859154929576
hotosm/learnosm,OSS4SG,132,14,0.10606060606060606,0.8002163721601154,49,0.3712121212121212,0.8383191817198308,3,1,0.007575757575757576,54,25,4,2773,2219,21.007575757575758
okfn/opendatahandbook,OSS4SG,79,7,0.08860759493670886,0.8151848151848152,37,0.46835443037974683,0.8600260498994676,3,2,0.02531645569620253,25,12,5,2002,1632,25.341772151898734
disease-sh/API,OSS4SG,98,7,0.07142857142857142,0.8024038461538462,43,0.4387755102040816,0.8681907378335951,3,1,0.01020408163265306,39,11,5,2080,1669,21.224489795918366
reach4help/reach4help,OSS4SG,57,7,0.12280701754385964,0.8030125195618153,15,0.2631578947368421,0.8354817011229168,2,1,0.017543859649122806,12,23,7,5112,4105,89.6842105263158
openstreetmap/osmosis,OSS4SG,54,1,0.018518518518518517,0.8152461619904712,20,0.37037037037037035,0.9173676058271081,1,2,0.037037037037037035,26,7,1,1889,1540,34.98148148148148
github/covid19-dashboard,OSS4SG,51,5,0.09803921568627451,0.8006853226727584,21,0.4117647058823529,0.8621404015632523,2,2,0.0392156862745098,17,9,4,1751,1402,34.333333333333336
dhis2/app-platform,OSS4SG,32,5,0.15625,0.8503688092729189,11,0.34375,0.7927094309799789,3,5,0.15625,11,6,4,949,807,29.65625
pcm-dpc/COVID-19,OSS4SG,37,7,0.1891891891891892,0.8023111844820471,7,0.1891891891891892,0.7883459191754694,2,2,0.05405405405405406,14,12,4,2423,1944,65.48648648648648
nextstrain/nextstrain.org,OSS4SG,57,8,0.14035087719298245,0.8212530712530712,22,0.38596491228070173,0.8311134100607784,3,5,0.08771929824561403,13,14,8,3256,2674,57.12280701754386
okfde/offenerhaushalt.de,OSS4SG,24,3,0.125,0.8341416100872939,8,0.3333333333333333,0.8460636922082121,1,1,0.041666666666666664,8,6,2,1031,860,42.958333333333336
